Countrycode,City,Type,Quarter,Variable,Value,Note
203,Czechia total (excluding Prague),Tram,3Q2019,PKM,394800,
203,Czechia total (excluding Prague),Tram,4Q2019,PKM,505600,
203,Czechia total (excluding Prague),Tram,1Q2020,PKM,451500,
203,Czechia total (excluding Prague),Tram,2Q2020,PKM,245100,
203,Czechia total (excluding Prague),Tram,3Q2020,PKM,322400,
203,Czechia total (excluding Prague),Tram,4Q2020,PKM,356800,
203,Czechia total (excluding Prague),Tram,1Q2021,PKM,319000,
203,Czechia total (excluding Prague),Tram,2Q2021,PKM,290000,
203,Czechia total (excluding Prague),Tram,3Q2021,PKM,320100,
203,Prague,Metro,1Q2019,Pass,106700,
203,Prague,Metro,2Q2019,Pass,113000,
203,Prague,Metro,3Q2019,Pass,103400,
203,Prague,Metro,4Q2019,Pass,117400,
203,Prague,Metro,1Q2020,Pass,86400,
203,Prague,Metro,2Q2020,Pass,48800,
203,Prague,Metro,3Q2020,Pass,68000,
203,Prague,Metro,4Q2020,Pass,48200,
203,Prague,Metro,1Q2021,Pass,38900,
203,Prague,Metro,2Q2021,Pass,55900,
203,Prague,Metro,3Q2021,Pass,68000,
203,Prague,Metro,1Q2019,PKM,1632400,
203,Prague,Metro,2Q2019,PKM,1679500,
203,Prague,Metro,3Q2019,PKM,1671600,
203,Prague,Metro,4Q2019,PKM,1701300,
203,Prague,Metro,1Q2020,PKM,570400,
203,Prague,Metro,2Q2020,PKM,321900,
203,Prague,Metro,3Q2020,PKM,448900,
203,Prague,Metro,4Q2020,PKM,318100,
203,Prague,Metro,1Q2021,PKM,256800,
203,Prague,Metro,2Q2021,PKM,369000,
203,Prague,Metro,3Q2021,PKM,449000,
203,Prague,Tram,1Q2019,Pass,100700,
203,Prague,Tram,2Q2019,Pass,92000,
203,Prague,Tram,3Q2019,Pass,87500,
203,Prague,Tram,4Q2019,Pass,90900,
203,Prague,Tram,1Q2020,Pass,80900,
203,Prague,Tram,2Q2020,Pass,46800,
203,Prague,Tram,3Q2020,Pass,50700,
203,Prague,Tram,4Q2020,Pass,61400,
203,Prague,Tram,1Q2021,Pass,39200,
203,Prague,Tram,2Q2021,Pass,55600,
203,Prague,Tram,3Q2021,Pass,59800,
203,Prague,Tram,1Q2019,PKM,640200,
203,Prague,Tram,2Q2019,PKM,658600,
203,Prague,Tram,3Q2019,PKM,655500,
203,Prague,Tram,4Q2019,PKM,667200,
203,Prague,Tram,1Q2020,PKM,242800,
203,Prague,Tram,2Q2020,PKM,140300,
203,Prague,Tram,3Q2020,PKM,152200,
203,Prague,Tram,4Q2020,PKM,184100,
203,Prague,Tram,1Q2021,PKM,117700,
203,Prague,Tram,2Q2021,PKM,166900,
203,Prague,Tram,3Q2021,PKM,179400,
208,Aarhus,Light rail,1Q2018,Pass,683,
208,Aarhus,Light rail,2Q2018,Pass,663,
208,Aarhus,Light rail,3Q2018,Pass,866,
208,Aarhus,Light rail,4Q2018,Pass,1083,
208,Aarhus,Light rail,1Q2019,Pass,1156,
208,Aarhus,Light rail,2Q2019,Pass,1078,
208,Aarhus,Light rail,3Q2019,Pass,1196,
208,Aarhus,Light rail,4Q2019,Pass,1358,
208,Aarhus,Light rail,1Q2020,Pass,1145,
208,Aarhus,Light rail,2Q2020,Pass,628,
208,Aarhus,Light rail,3Q2020,Pass,908,
208,Aarhus,Light rail,4Q2020,Pass,908,
208,Aarhus,Light rail,1Q2021,Pass,581,
208,Aarhus,Light rail,2Q2021,Pass,970,
208,Aarhus,Light rail,3Q2021,Pass,1086,
208,Aarhus,Light rail,4Q2017,Pass,70,
208,Aarhus,Light rail,1Q2018,PKM,2000,
208,Aarhus,Light rail,2Q2018,PKM,2000,
208,Aarhus,Light rail,3Q2018,PKM,4000,
208,Aarhus,Light rail,4Q2018,PKM,6000,
208,Aarhus,Light rail,1Q2019,PKM,7000,
208,Aarhus,Light rail,2Q2019,PKM,11000,
208,Aarhus,Light rail,3Q2019,PKM,14000,
208,Aarhus,Light rail,4Q2019,PKM,19000,
208,Aarhus,Light rail,1Q2020,PKM,11000,
208,Aarhus,Light rail,2Q2020,PKM,6000,
208,Aarhus,Light rail,3Q2020,PKM,9000,
208,Aarhus,Light rail,4Q2020,PKM,9000,
208,Aarhus,Light rail,1Q2021,PKM,6000,
208,Aarhus,Light rail,2Q2021,PKM,9000,
208,Aarhus,Light rail,3Q2021,PKM,10000,
208,Copenhagen,Metro,1Q2018,Pass,16017,
208,Copenhagen,Metro,2Q2018,Pass,16397,
208,Copenhagen,Metro,3Q2018,Pass,15125,
208,Copenhagen,Metro,4Q2018,Pass,17154,
208,Copenhagen,Metro,1Q2019,Pass,16290,
208,Copenhagen,Metro,2Q2019,Pass,16226,
208,Copenhagen,Metro,3Q2019,Pass,15728,
208,Copenhagen,Metro,4Q2019,Pass,30691,
208,Copenhagen,Metro,1Q2020,Pass,21474,
208,Copenhagen,Metro,2Q2020,Pass,10424,
208,Copenhagen,Metro,3Q2020,Pass,16558,
208,Copenhagen,Metro,4Q2020,Pass,15237,
208,Copenhagen,Metro,1Q2021,Pass,10534,
208,Copenhagen,Metro,2Q2021,Pass,16474,
208,Copenhagen,Metro,3Q2021,Pass,21303,
208,Copenhagen,Metro,1Q2010,Pass,13500,
208,Copenhagen,Metro,1Q2011,Pass,14100,
208,Copenhagen,Metro,1Q2012,Pass,13900,
208,Copenhagen,Metro,1Q2013,Pass,14200,
208,Copenhagen,Metro,1Q2014,Pass,14308,
208,Copenhagen,Metro,1Q2015,Pass,14174,
208,Copenhagen,Metro,1Q2016,Pass,15113,
208,Copenhagen,Metro,1Q2017,Pass,16000,
208,Copenhagen,Metro,2Q2010,Pass,12400,
208,Copenhagen,Metro,2Q2011,Pass,13100,
208,Copenhagen,Metro,2Q2012,Pass,13100,
208,Copenhagen,Metro,2Q2013,Pass,14300,
208,Copenhagen,Metro,2Q2014,Pass,14077,
208,Copenhagen,Metro,2Q2015,Pass,14269,
208,Copenhagen,Metro,2Q2016,Pass,15460,
208,Copenhagen,Metro,2Q2017,Pass,15549,
208,Copenhagen,Metro,3Q2010,Pass,12000,
208,Copenhagen,Metro,3Q2011,Pass,12800,
208,Copenhagen,Metro,3Q2012,Pass,12600,
208,Copenhagen,Metro,3Q2013,Pass,12300,
208,Copenhagen,Metro,3Q2014,Pass,12904,
208,Copenhagen,Metro,3Q2015,Pass,13377,
208,Copenhagen,Metro,3Q2016,Pass,14411,
208,Copenhagen,Metro,3Q2017,Pass,14949,
208,Copenhagen,Metro,4Q2010,Pass,14600,
208,Copenhagen,Metro,4Q2011,Pass,14200,
208,Copenhagen,Metro,4Q2012,Pass,14700,
208,Copenhagen,Metro,4Q2013,Pass,14600,
208,Copenhagen,Metro,4Q2014,Pass,14609,
208,Copenhagen,Metro,4Q2015,Pass,15396,
208,Copenhagen,Metro,4Q2016,Pass,15939,
208,Copenhagen,Metro,4Q2017,Pass,16963,
208,Copenhagen,Metro,1Q2018,PKM,87000,
208,Copenhagen,Metro,2Q2018,PKM,89000,
208,Copenhagen,Metro,3Q2018,PKM,82000,
208,Copenhagen,Metro,4Q2018,PKM,93000,
208,Copenhagen,Metro,1Q2019,PKM,89000,
208,Copenhagen,Metro,2Q2019,PKM,88000,
208,Copenhagen,Metro,3Q2019,PKM,85000,
208,Copenhagen,Metro,4Q2019,PKM,138000,
208,Copenhagen,Metro,1Q2020,PKM,98000,
208,Copenhagen,Metro,2Q2020,PKM,47000,
208,Copenhagen,Metro,3Q2020,PKM,75000,
208,Copenhagen,Metro,4Q2020,PKM,69000,
208,Copenhagen,Metro,1Q2021,PKM,48000,
208,Copenhagen,Metro,2Q2021,PKM,75000,
208,Copenhagen,Metro,3Q2021,PKM,96000,
208,Copenhagen,Metro,1Q2010,PKM,60000,
208,Copenhagen,Metro,1Q2011,PKM,70000,
208,Copenhagen,Metro,1Q2012,PKM,68000,
208,Copenhagen,Metro,1Q2013,PKM,74000,
208,Copenhagen,Metro,1Q2014,PKM,75000,
208,Copenhagen,Metro,1Q2015,PKM,75000,
